"Nom_bibliotheque","Nom_responsable","Population_residente","Population_contractuelle","Nb_abonnes_actifs","Nb_menages_servis","Nb_points_service","Nb_succursales","Heures_ouverture","Nb_imprimantes_3D","Nb_espaces_creation","Nb_locations_salles","Nb_bibliotheques_ephemeres","Superficie","Nb_postes_publics","Nb_postes_OPAC","Nb_postes_internet","Nb_appareils_pretes","Nb_liseuses","Population_desservie","Ratio_abonnes_population","Imprimantes_3D_1000","Espaces_creation_1000","Postes_internet_1000","Appareils_pretes_1000","Liseuses_1000","Z_Imprimantes_3D","Z_Espaces_creation","Z_Postes_internet","Z_Appareils_pretes","Z_Liseuses","Nb_composantes_indice","Indice_ressources_technologiques"
"Bracebridge","Crystal Bergstrome",16010,0,9002,9067,1,1,58,0,0,0,0,8700,12,12,9,0,0,16010,0.562273579013117,0,0,0.562148657089319,0,0,-0.236785156647013,-0.119350542858156,-0.308838634644105,-0.366416952836759,-0.23838527649273,5,-0.253955312695753
"Bradford West Gwillimbury Town","Matthew Corbett",38559,0,18505,13583,1,1,63.5,1,1,0,0,40000,5,5,5,6,0,38559,0.479913898182007,0.0259342825280739,0.0259342825280739,0.129671412640369,0.155605695168443,0,-0.103604258030109,-0.109853067765434,-0.347423125508707,-0.338328256999978,-0.23838527649273,5,-0.227518796959392
"Brampton","Todd Kyle",696975,0,78445,180189,8,8,496,4,4,0,0,205070,460,16,460,294,0,696975,0.112550665375372,0.00573908676781807,0.00573908676781807,0.659994978299078,0.421822877434628,0,-0.207313096560099,-0.117248813860127,-0.300109041271711,-0.29027285998443,-0.23838527649273,5,-0.23066581763382
"Brant County","Kelly Bernstein",30781,0,20784,14354,6,5,331,1,0,0,12,20500,18,18,18,2,0,30781,0.675221727689159,0.0324875735031351,0,0.584776323056431,0.0649751470062701,0,-0.0699509969455999,-0.119350542858156,-0.306819853350981,-0.354688158853778,-0.23838527649273,5,-0.217838965700249
"Brantford","Rae-Lynne Aramburo",102257,0,16473,41642,2,2,113.5,3,1,246,0,68000,35,35,30,11,0,102257,0.161094106026971,0.0293378448419179,0.00977928161397264,0.293378448419179,0.107572097753699,0,-0.0861258686832787,-0.11576924141082,-0.33281761109713,-0.346998897918799,-0.23838527649273,5,-0.224019379120551
"Brighton Public Library Board","Heather Ratz",11844,0,3358,5099,3,3,59,0,0,0,3,6533,11,2,8,0,0,11844,0.283519081391422,0,0,0.675447483958122,0,0,-0.236785156647013,-0.119350542858156,-0.298730409052122,-0.366416952836759,-0.23838527649273,5,-0.251933667577356
"Britt Area","Barbara Wohleber",940,0,214,NA,7,7,42.5,0,0,0,0,NA,6,6,6,1,5,940,0.227659574468085,0,0,6.38297872340426,1.06382978723404,5.31914893617021,-0.236785156647013,-0.119350542858156,0.210480629897317,-0.174382906246254,1.20751299641224,5,0.177495004111627
"Brock Twp","Katie-Scarlett MacGillivray",11642,0,2176,5349,3,3,74,1,0,0,0,11421,28,27,27,8,2,11642,0.186909465727538,0.0858958941762584,0,2.31918914275898,0.687167153410067,0.171791788352517,0.204317941598065,-0.119350542858156,-0.152080068873925,-0.24237503303255,-0.191687307878036,5,-0.10023500220892
"Brockville","Emily Farrell",21346,0,4170,10820,1,1,35,0,0,17,0,18813,6,0,6,0,0,21346,0.195352759299166,0,0,0.281083106905275,0,0,-0.236785156647013,-0.119350542858156,-0.333914569372761,-0.366416952836759,-0.23838527649273,5,-0.258970499641484
"Bruce County","Brooke McLean",61119,0,24306,41290,17,17,534.5,2,1,0,0,52919,71,69,69,0,0,61119,0.397683208167673,0.0327230484791963,0.0163615242395982,1.12894517253227,0,0,-0.0687417570570591,-0.113358737656823,-0.258270529031838,-0.366416952836759,-0.23838527649273,5,-0.209034650615042
"Bruce Mines & Plummer Additional Union","Melissa Allard",1226,584,351,1375,1,1,23.5,0,0,0,0,2750,12,0,8,0,0,1810,0.193922651933702,0,0,4.41988950276243,0,0,-0.236785156647013,-0.119350542858156,0.0353389338370654,-0.366416952836759,-0.23838527649273,5,-0.185119798999519
"Burk's Falls, Armour & Ryerson Union","Nieves Guijarro",3043,824,641,2922,1,1,35,0,1,6,0,1800,7,7,7,4,3,3867,0.165761572278252,0,0.258598396689941,1.81018877682958,1.03439358675976,0.775795190069822,-0.236785156647013,-0.0246484114642484,-0.197491752890517,-0.17969649377798,-0.0275017425081419,5,-0.13322471145758
"Burlington","Lita Barrie",176802,0,117084,72923,6,6,373,3,2,0,0,106684,121,9,112,195,7,176802,0.662232327688601,0.0169681338446398,0.0113120892297598,0.633476996866551,1.10292869990158,0.0395923123041595,-0.14964832103821,-0.115207907117607,-0.302474906355861,-0.167325083174427,-0.227622942768321,5,-0.192455832090885
"Caledon","",74649,0,13171,24213,7,7,313.5,1,0,0,0,39207,82,8,26,48,0,74649,0.17643906817238,0.0133960267384694,0,0.348296695200204,0.64300928344653,0,-0.167992242210528,-0.119350542858156,-0.327917948471129,-0.250346058622991,-0.23838527649273,5,-0.220798413731107
"Callander","Melissa Sones",3863,0,835,1799,1,1,46,0,0,0,0,1038,5,3,3,2,3,3863,0.216153248770386,0,0,0.776598498576236,0.517732332384157,0.776598498576236,-0.236785156647013,-0.119350542858156,-0.289705979559997,-0.272960052088597,-0.0272833800603194,5,-0.189217022242817
"Cambridge","Helen Kelly",135060,0,41552,49160,5,5,307,5,4,647,0,93900,33,12,21,45,0,135060,0.307655856656301,0.0370205834443951,0.0296164667555161,0.155486450466459,0.333185250999556,0,-0.0466725300451621,-0.108504603509711,-0.345119975218247,-0.306273015543864,-0.23838527649273,5,-0.208991080161943
"Carleton Place","Meriah Caswell",11936,7644,3316,8053,1,1,53,0,0,0,0,7500,5,2,3,0,0,19580,0.169356486210419,0,0,0.153217568947906,0,0,-0.236785156647013,-0.119350542858156,-0.345322398904924,-0.366416952836759,-0.23838527649273,5,-0.261252065547917
"Carlow/Mayo Public Library","Carrie McKenzie",864,0,189,627,1,1,12,0,0,0,0,750,8,0,8,4,0,864,0.21875,0,0,9.25925925925926,4.62962962962963,0,-0.236785156647013,-0.119350542858156,0.467094871419175,0.469286768436736,-0.23838527649273,5,0.0683721327716022
"Casselman","Linda Bergeron",3171,0,300,1533,1,1,27,0,0,0,0,NA,4,0,4,4,0,3171,0.0946073793755913,0,0,1.26143172500788,1.26143172500788,0,-0.236785156647013,-0.119350542858156,-0.246450424646482,-0.138713384504908,-0.23838527649273,5,-0.195936957029858
"Cavan Monaghan Public Library Board, Township of","Karla Buckborough",8829,0,1013,3409,2,2,56,0,2,0,1,5000,14,14,14,10,4,8829,0.114735530637671,0,0.226526220410012,1.58568354287009,1.13263110205006,0.453052440820025,-0.236785156647013,-0.0363936639137136,-0.217521523843675,-0.161963443045078,-0.115232541049924,5,-0.153579265699881
"Central Manitoulin Twp","Claire Cline",2084,0,3216,1629,1,1,30,0,0,5,0,1000,5,0,5,0,0,2084,1.54318618042226,0,0,2.39923224568138,0,0,-0.236785156647013,-0.119350542858156,-0.144938832165809,-0.366416952836759,-0.23838527649273,5,-0.221175352200093
"Centre Hastings","Tammie Adams",4774,1841,1203,3314,1,1,25,0,1,7,0,3210,5,4,3,7,0,6615,0.181859410430839,0,0.151171579743008,0.453514739229025,1.05820105820106,0,-0.236785156647013,-0.0639895236442117,-0.318530669231052,-0.175398959402817,-0.23838527649273,5,-0.206617917083565
"Champlain Twp","Cynthia Martin",8706,2952,1882,5600,1,1,38,0,0,0,17,2175,7,7,7,5,1,11658,0.161434208269,0,0,0.600446045633899,0.428890032595642,0.0857780065191285,-0.236785156647013,-0.119350542858156,-0.305421841604926,-0.288997153645185,-0.215068337454633,5,-0.233124606441983
"Chapleau Twp","Kimberly Jean",1956,0,251,1068,1,1,32,0,0,0,0,2900,3,1,2,0,9,1956,0.128323108384458,0,0,1.02249488752556,0,4.60122699386503,-0.236785156647013,-0.119350542858156,-0.267767745595473,-0.366416952836759,1.01236108227783,5,0.00440813686808504
