"Nom_bibliotheque","PC1","PC2"
"Hearst Twp",-0.684629124048243,-0.849072349923669
"Henvey Inlet FN",-2.22025150148501,0.697092925893288
"Hilton Union",-2.66248431525039,1.72633526344359
"Hornepayne Twp",-2.11383096229403,0.386452321131721
"Huntsville",-0.27388168503266,0.430047761897456
"Huron County",3.03288197810068,0.317478080462336
"Huron Shores",-1.91971665833417,-1.48234062437076
"Ignace",-1.83586041626052,-0.290279604895724
"Innisfil",1.70976025045999,1.13620102067317
"Iroquois Falls",-0.980227352576708,-1.10135441977774
"James Twp",-2.23428227283888,1.76753439424356
"Kawartha Lakes, City of",3.12009626300815,-0.0361546299083056
"Kenora City",0.678568840703038,-0.0840804623743814
"Killaloe, Hagarty & Richards Twp",-1.32268079272871,0.356820298693091
"King Twp",1.63048828206646,-0.230903620944251
"Kingston-Frontenac County",3.76683398048681,0.0878774591351791
"Kirkland Lake",-0.0502885888038705,-1.07921652512424
"Kitchener",3.26615462809467,0.246583651395548
"La Nation",0.459630895847508,0.168991291860112
"Lake of Bays Twp",-0.344839355113544,2.59397367054241
"Lambton County",4.15900547894772,-0.555686825251976
"Lanark Highlands",-1.45376838983658,-1.17452255759146
"Larder Lake Public Library",-2.59619697736935,0.0529057734517528
"Laurentian Hills",-1.0748781134322,-2.15988328724896
"Leeds and the Thousand Islands Twp",0.161217251322219,-1.16398970225818
"Lennox and Addington County",1.78068336606196,-0.518154634740841
"Lincoln",0.785899379327618,0.0739331020598597
"London",4.57578980013824,0.731039396578364
"M'Chigeeng FN",-1.68859819396465,-0.524490230693447
"Madawaska Valley Twp",-1.05670519378212,-0.559494222980624
"Magnetawan FN",-3.12697486722636,0.305439679942665
"Magnetawan Twp",-1.75117771773939,1.5412463702204
"Manitouwadge",-1.36781364006413,0.410877071158317
"Marathon",-1.18357968291113,0.739402010940244
"Markham",2.99644562306667,-0.0206330201415251
"Markstay-Warren",-1.05137704331641,0.287352853171649
"Marmora and Lake Twp",-1.64386644915815,-0.285335746341007
"Mattawa",-1.65045691241363,-0.14758568800859
"Mattice-Val Cote Twp",-1.74157630828647,0.213197396550982
"McKellar Twp",-1.12102957577541,-0.209459916125278
"Meaford",-0.277124820008732,0.775393148413326
"Merrickville-Wolford",-0.943147413257923,-0.590223221155924
"Michipicoten FN",-2.13139170762599,1.75038201500224
"Middlesex County Library",3.41386097476086,0.110108855147678
"Midland",0.468829628138986,-0.927590739263766
"Mississauga",4.9056759407558,-0.335852244092256
"Mississaugas of Scugog Island FN",-2.83652618788719,3.11248480146015
"Mississippi Mills",0.426898799495244,0.358280202081585
"Mohawks of the Bay of Quinte FN",-1.18977813410984,-1.89606152031845
"Moonbeam Twp",-1.54075038655225,0.0737113443917223
"Muskoka Lakes Twp",-0.0790987007993215,-0.395429566633262
"New Tecumseth",1.44616942533409,0.205017884556226
"Newmarket",0.741049474613935,-0.131176876499285
"Niagara Falls",2.4211425199618,0.860603912899056
"Niagara-on-the-Lake",0.747671943864027,0.873949168103581
"Nipigon Twp",-1.56369589763618,0.283736965598129
"Norfolk County",2.28066330460702,0.556037696317121
"North Bay",0.615123305409845,1.57783183982021
"North Grenville Twp",0.333040016126638,0.5546298726499
