"Nom_bibliotheque","Groupe","Population_desservie","Nb_succursales","Heures_ouverture","Superficie","Ratio_abonnes_population","Indice_ressources_technologiques","Profil"
"James Twp",3,460,1,12,2600,0.926086956521739,2.24029399919833,"Petites bibliothèques à forte offre technologique"
"Kawartha Lakes, City of",1,75423,16,331,36445,0.206833459289607,-0.240454541101991,"Grands réseaux de bibliothèques"
"Kenora City",2,15096,3,67,13500,0.22456279809221,-0.122966128186104,"Bibliothèques locales intermédiaires"
"Killaloe, Hagarty & Richards Twp",2,3372,1,27,2425,0.335409252669039,-0.25340267960827,"Bibliothèques locales intermédiaires"
"King Twp",1,24916,3,231,25819,0.191724193289453,-0.0203492755528943,"Grands réseaux de bibliothèques"
"Kingston-Frontenac County",1,149920,16,376,127387,0.232397278548559,-0.193548203650694,"Grands réseaux de bibliothèques"
"Kirkland Lake",2,7981,1,43,28500,0.109008896128305,-0.157627982710185,"Bibliothèques locales intermédiaires"
"Kitchener",1,261610,5,325,155214,0.298329574557547,-0.212523273632479,"Grands réseaux de bibliothèques"
"La Nation",2,12808,3,73.5,6894,0.271861336664585,-0.252840791899705,"Bibliothèques locales intermédiaires"
"Lake of Bays Twp",3,2479,2,60,6368,1.69140782573618,-0.104625921002069,"Petites bibliothèques à forte offre technologique"
"Lambton County",1,126638,25,724,83243,0.130790126186453,-0.202573746139869,"Grands réseaux de bibliothèques"
"Lanark Highlands",2,5338,1,15,2575,0.107905582615212,-0.243851808676609,"Bibliothèques locales intermédiaires"
"Larder Lake Public Library",2,730,1,16,358,0.253424657534247,0.329502513920459,"Bibliothèques locales intermédiaires"
"Laurentian Hills",2,2961,2,18,3012,0.0452549814251942,-0.202462118492555,"Bibliothèques locales intermédiaires"
"Leeds and the Thousand Islands Twp",2,9465,3,59,4645,0.095932382461701,-0.193528729991458,"Bibliothèques locales intermédiaires"
"Lennox and Addington County",1,42888,5,168,18013,0.156244170863645,-0.239342284894821,"Grands réseaux de bibliothèques"
"Lincoln",2,23787,2,102,13754,0.263295077142977,-0.18904953485959,"Bibliothèques locales intermédiaires"
"London",1,393167,16,624,337866,0.391876734313918,-0.237713085123378,"Grands réseaux de bibliothèques"
"M'Chigeeng FN",2,935,1,37.5,1290,0.154010695187166,-0.14769557192173,"Bibliothèques locales intermédiaires"
"Madawaska Valley Twp",2,4954,1,29,3500,0.166733952361728,-0.256782334965259,"Bibliothèques locales intermédiaires"
"Magnetawan FN",3,75,1,15,480,0.266666666666667,4.06288153263868,"Petites bibliothèques à forte offre technologique"
"Magnetawan Twp",3,1214,1,26,1628,0.797364085667216,0.730551026533755,"Petites bibliothèques à forte offre technologique"
"Manitouwadge",2,1698,1,36,2368,0.32979976442874,0.500593518526136,"Bibliothèques locales intermédiaires"
"Marathon",2,3273,1,37,2400,0.443629697525206,0.215204943504434,"Bibliothèques locales intermédiaires"
"Markham",1,349007,4,208.72,151401,0.256923213574513,-0.230406606155414,"Grands réseaux de bibliothèques"
"Markstay-Warren",2,2301,2,30,2010,0.293785310734463,0.0598309862652953,"Bibliothèques locales intermédiaires"
"Marmora and Lake Twp",2,3092,1,26,1000,0.205045278137128,-0.223590027799032,"Bibliothèques locales intermédiaires"
"Mattawa",2,3763,1,15,1935,0.235981929311719,-0.173005786497935,"Bibliothèques locales intermédiaires"
"Mattice-Val Cote Twp",2,623,1,25,2880,0.269662921348315,0.199940393775466,"Bibliothèques locales intermédiaires"
"McKellar Twp",2,1093,1,20,17075,0.198536139066789,0.0492423101875208,"Bibliothèques locales intermédiaires"
"Meaford",2,10991,1,48,9996,0.476662724046947,-0.195100960284036,"Bibliothèques locales intermédiaires"
"Merrickville-Wolford",2,5958,1,32.5,3600,0.163645518630413,-0.242881654972615,"Bibliothèques locales intermédiaires"
"Michipicoten FN",3,66,1,37.5,3000,0.757575757575758,3.87629156217496,"Petites bibliothèques à forte offre technologique"
